key	RU	EN	ES-EU	ES_LA	PT-BR	PT-EU	FR	DE	JA	KO	ZH-S	ZH-T	TR	TH	IT	ID
vip_small_text	Это <color=#ffff00>авто-возобновляемая подписка</color>. VIP Подписка предлагает еженедельную подписку, у вас будет 3-дневный бесплатный пробный период, после окончания которого, будет взиматься плата в размере {0}. После покупки данной подписки будут разблокированы некоторые фичи и будет полностью отключена реклама. При подтверждении платежа взимается {1}. Подписка возобновляется, если не будет отключена за 24 часа до окончания периода: плата также будет взиматься за продление. Вы можете отключить автопродление в настройках своей учетной записи. Любая неиспользованная часть бесплатного ознакомительного периода пропадет, как только пользователь приобретет платную подписку. <color=#ffff00>Политика конфиденциальности</color> и  <color=#ffff00>Условия использования </color>.	This is an <color=#ffff00>Auto-renewable subscription</color>. Gold Membership offers a weekly subscription, you will have a 3-days FREE trial period, after this period you will be charged {0}. After buying this subscription, you will unlock features and removing ads. Payment is charged to {1} at confirmation. Account will be charged for renewal within 24-hours prior to the end of the current period, and identify the cost of the renewal. Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period. Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings. Any unused portion of the free trial period, if offered, will be forfeited when the user purchases a subscription to that publication, where applicable. <color=#ffff00>Privacy Policy</color> and <color=#ffff00>Terms of Use</color>.	Esta es una <color=#ffff00>suscripción de renovación automática</color>. La suscripción oro es de carácter semanal. Tendrás un período de prueba GRATUITO de 3 días, tras el cual se te cobrará un importe de {0}. Al adquirir esta suscripción, se desbloquearán las funciones y se eliminarán los anuncios. El pago se carga en {1} tras la confirmación. La suscripción se renueva a menos que se anule 24 horas antes de que finalice el período en curso. El precio de la renovación también se cargará en la cuenta. Puedes administrar las suscripciones y anular la renovación automática desde la configuración de tu cuenta. Cuando corresponda, en el momento de adquirir una suscripción a dicha publicación, perderás las partes que no hayas usado del período de prueba gratuito, si se te ofrece. <color=#ffff00>Política de confidencialidad</color> y <color=#ffff00>Condiciones de uso</color>.	Esta es una <color=#ffff00>suscripción de renovación automática</color>. La suscripción oro es de carácter semanal. Tendrás un período de prueba GRATUITO de 3 días, tras el cual se te cobrará un importe de {0}. Al adquirir esta suscripción, se desbloquearán las funciones y se eliminarán los anuncios. El pago se carga en {1} después de la confirmación. La suscripción se renueva a menos que se anule 24 horas antes de que finalice el período en curso. El precio de la renovación también se cargará en la cuenta. Puedes administrar las suscripciones y anular la renovación automática desde la configuración de tu cuenta. Cuando corresponda, en el momento de adquirir una suscripción a dicha publicación, perderás las partes que no hayas usado del período de prueba gratuito, si se te ofrece. <color=#ffff00>Política de confidencialidad</color> y <color=#ffff00>Condiciones de uso</color>.	Esta é uma assinatura <color=#ffff00>renovável automaticamente</color>. A Assinatura Gold oferece uma assinatura semanal. Você terá 3 dias para fazer uma avaliação GRÁTIS. Após este período você pagará {0}. Após comprar esta assinatura, você desbloqueará recursos e removerá anúncios. O pagamento é cobrado a {1}, após a confirmação. A conta será cobrada por uma renovação no prazo de 24 horas antes do final do período atual ao custo de renovação estipulado. A assinatura é renovada automaticamente, a menos que a renovação automática seja desativada pelo menos 24 horas antes do término do período atual. As assinaturas podem ser gerenciadas pelo usuário e a renovação automática pode ser desativada através das Configurações na conta do usuário. Qualquer parte não utilizada do período de avaliação gratuita será anulado quando o usuário adquire uma assinatura Versus da publicação, conforme aplicável. <color=#ffff00>Política de Privacidade</color> e <color=#ffff00>Termos de Uso</color>.	Esta é uma assinatura <color=#ffff00>renovável automaticamente</color>. A Assinatura Gold oferece uma assinatura semanal. Terás 3 dias para fazer uma avaliação GRATUITA. Após este período vais pagar {0}. Após comprares esta assinatura, irás desbloquear recursos e remover anúncios. O pagamento é cobrado a {1}, após a confirmação. A conta irá ser cobrada por uma renovação no prazo de 24 horas antes do final do período atual ao custo de renovação estipulado. A assinatura é renovada automaticamente, a menos que a renovação automática seja desativada pelo menos 24 horas antes do término do período atual. As assinaturas podem ser gerenciadas pelo usuário e a renovação automática pode ser desativada através das Configurações na conta do utilizador. Qualquer parte não utilizada do período de avaliação gratuita irá ser anulada quando o utilizador adquirir uma assinatura Versus da publicação, conforme aplicável. <color=#ffff00>Política de Privacidade</color> e <color=#ffff00>Termos de Utilização</color>.	Cet abonnement est <color=#ffff00>automatiquement renouvelable</color>. L'adhésion Or offre une souscription hebdomadaire, vous profiterez d'une période d'essai gratuite de 3 jours après laquelle vous serez facturé de {0}. Après l'achat de cet abonnement, vous débloquerez des fonctionnalités et supprimerez les publicités. Le paiement est facturé à {1} lors de la confirmation. Le compte sera facturé pour le renouvellement dans un délai de 24 heures avant la fin de la période actuelle et identifiera le coût du renouvellement. L'abonnement se renouvelle automatiquement sauf si le renouvellement automatique est désactivé au moins 24 heures avant la fin de la période actuelle. Les abonnements peuvent être gérés par l'utilisateur et le renouvellement automatique peut être désactivé dans les paramètres du compte de l'utilisateur. Toute partie non utilisée de la période d'essai gratuite, si offerte, sera perdue si l'utilisateur achète un abonnement sur cette publication, le cas échéant. <color=#ffff00>Politique de confidentialité</color> et<color=#ffff00>Conditions d'utilisation</color>.	Dieses <color=#ffff00>Abonnement erneuert sich automatisch</color>. Die Gold-Mitgliedschaft bietet beinhaltet einen KOSTENLOSEN 3-Tage-Testzeitraum, und anschließend kostet das Abonnement {0}. Nach dem Abo-Kauf kannst du Funktionen freischalten und Werbeanzeigen entfernen. Die Zahlung wird bei Bestätigung von {1} abgebucht. Die Erneuerung wird 24 Stunden vor Ablauf des aktuellen Abo-Zeitraums in Rechnung gestellt und es werden die Kosten der Verlängerung bestimmt. Das Abonnement erneuert sich automatisch, es sei denn, es wird mindestens 24 Stunden vor Ablauf des aktuellen Zeitraums gekündigt. Der Benutzer kann die Abonnements verwalten und die automatische Erneuerung in den Kontoeinstellungen deaktivieren. Jeder nicht genutzte Teil des kostenlosen Testzeitraums verfällt gegebenenfalls, wenn der Benutzer ein Abonnement für diese Veröffentlichung erwirbt.<color=#ffff00>Datenschutzbestimmungen</color> und <color=#ffff00>Nutzungsbedingungen</color>.	これは<color=#ffff00>自動更新されるサブスクリプション</color>です。ゴールドメンバーシップは週ごとのサブスクリプションになります。最初に3日間の無料試用期間が提供され、3日経過後から{0}/週、課金されます。このサブスクリプションを購入後に、機能がアンロックされ、広告が表示されなくなります。お支払いは、確認ボタンを押すと{1}に請求されます。また、更新時には、現在有効なサブスクリプションの終了時間の24時間前までにアカウントに最終的な確定した更新料が自動で発生します。現在の有効期限の24時間前までに自動更新が無効にされない限り、サブスクリプションは、自動更新されます。 サブスクリプションはユーザーが管理できます。自動更新はユーザーのアカウント設定から無効にできます。無料試用期間が提供された場合、一部の例外を除き、この期間が終了する前にユーザーがサブスクリプションを購入すると、未使用部分の試用期間は没収されます。<color=#ffff00>プライバシーポリシー</color> と<color=#ffff00>利用規約</color>。	이는 <color=#ffff00>자동 갱신 구독</color>입니다. 골드 멤버쉽은 주간 구독을 제공하는데, 여러분에게 3일간의 무료 체험 기간이 부여되며, 이 기간이 지나면 {0}이 청구됩니다. 구독 후, 기능이 해제되고 광고가 제거됩니다. 확인 후 {1}로 청구됩니다. 현재 기간 만료 24시간 이내에 갱신을 위해 계정으로 요금이 청구됩니다. 현재 기간 만료 최소 24시간 전에 자동 갱신 기능을 끄지 않으면 구독은 자동 갱신됩니다. 사용자가 구독을 관리할 수 있으며 자동 갱신은 사용자 계정 설정에서 끌 수 있습니다. 사용자가 해당 제품을 구독하는 경우, 무료 체험 기간 잔여분은 소멸됩니다. <color=#ffff00>개인정보 보호정책</color> 및 <color=#ffff00>이용 약관</color>.	这是一个<color=#ffff00>可自动续约的订阅</color>。黄金会员提供周度订阅，您将获得3天的免费试用期，期满后您将被收取{0}。购买此订阅后，您将能解锁功能并移除广告。支付将在确认时向{1}收取。续约将在当前时间段结束前24小时内向账户收费，并确定续约费用。除非在当前时间段至少24小时前关闭，订阅将自动续约。 订阅可由用户管理，自动续约可以通过前往用户的“账户设置”进行关闭。当用户购买出版订阅时，在适用的情况下，任何未使用的免费试用期部分（如有）将被取消。 <color=#ffff00>隐私策略</color>和<color=#ffff00>使用条款</color>。	這是<color=#ffff00>自動續約訂閱</color>。金色會員資格提供每週訂閱，並且有三天的免費試用期，在此之後您需要付款{0}。 在購買此訂閱後，您會解鎖特殊功能，並去除廣告。在確認後，款項將從{1}扣取。當前訂閱期結束24小時前，自動訂閱款項將被從當前賬戶自動扣取。如果您要取消訂閱，請於當前訂閱期24小時前關閉自動續費選項。 訂閱完全由用戶管理，且自動續費在用戶賬號設置中關閉。如果免費試用有未用完的時間，在用戶購買訂閱後，剩餘時間將被視為放棄。<color=#ffff00>隱私政策</color>以及<color=#ffff00>使用條款</color>.	Bu <color=#ffff00>abonelik otomatik olarak yenilenebilir</color>. Altın Üyelik haftalık abonelik sunar; 3 günlük ÜCRETSİZ deneme süresinin ardından sizden {0} ödeme alınır. Bu aboneliği satın aldığınızda özelliklerin kilidi açılır ve reklamlar kaldırılır. Ödeme, onaylandıktan sonra {1} hesabına yazılır. Yenileme için, içinde bulunulan dönem sona ermeden 24 saat önce yenileme maliyeti belirlenir ve seçilen aboneliğin (haftalık, aylık veya yıllık) bedeli hesaptan çekilir. Otomatik yenileme özelliği geçerli sürenin bitiminden en az 24 saat önce kapatılmadığı sürece, abonelik otomatik olarak yenilenir. Abonelikler kullanıcı tarafından yönetilebilir ve otomatik yenileme özelliği kullanıcının Hesap Ayarları’ndan kapatılabilir. Uygun durumlarda, ücretsiz deneme süresi hakkının halen kullanılmamış bir kısmı varsa, kullanıcı o yayın için bir abonelik satın aldığında bu hak kaybedilir. <color=#ffff00>Gizlilik Politikası</color> ve <color=#ffff00>Kullanım Şartları</color>.	นี่คือ <color = # ffff00>การต่ออายุการสมัครรับข้อมูลโดยอัตโนมัติ</color>การเป็นสมาชิกแบบ Gold จะเป็นการสมัครสมาชิกรายสัปดาห์ซึ่งคุณจะมีระยะเวลาทดลองใช้ฟรี 3 วัน หลังจากช่วงเวลานี้คุณจะถูกเรียกเก็บเงิน {0} หลังจากซื้อการสมัครรับข้อมูลนี้คุณจะปลดล็อคคุณสมบัติต่าง ๆ และสามารถลบโฆษณาได้ การชำระเงินจะเรียกเก็บจาก {1} ในขั้นตอนการยืนยัน บัญชีจะถูกเรียกเก็บเงินสำหรับการต่ออายุภายใน 24 ชั่วโมงก่อนที่จะสิ้นสุดระยะเวลาปัจจุบันและระบุค่าใช้จ่ายของการต่ออายุ การสมัครสมาชิกจะได้รับการต่ออายุโดยอัตโนมัติเว้นแต่การต่ออายุอัตโนมัติถูกปิดการใช้งานอย่างน้อย 24 ชั่วโมงก่อนสิ้นงวดปัจจุบัน การสมัครสมาชิกอาจจัดการโดยผู้ใช้และการต่ออายุอัตโนมัติสามารถปิดการใช้งานได้โดยไปที่การตั้งค่าบัญชีผู้ใช้ ส่วนที่ไม่ได้ใช้งานของระยะเวลาทดลองใช้ฟรีในกรณีที่มีการให้จะถูกริบเมื่อผู้ใช้ซื้อการสมัครสมาชิกจากโฆษณานั้น <color = # ffff00>นโยบายความเป็นส่วนตัว</color> และ <color = # ffff00>ข้อกำหนดการใช้งาน</color>	Questo è un <color=#ffff00>abbonamento rinnovabile automaticamente</color>. Il livello di abbonamento Gold prevede un abbonamento settimanale; avrai un periodo di prova GRATUITO di 3 giorni, dopodiché ti verrà addebitato l'importo di {0}. Acquistando questo abbonamento sbloccherai nuove funzionalità e la pubblicità verrà eliminata. L'importo verrà addebitato a {1} al momento della conferma. L'importo per il rinnovo verrà addebitato nelle 24 ore che precedono la scadenza del periodo in corso; verrà indicato il prezzo del rinnovo. L'abbonamento si rinnova automaticamente a meno che il rinnovo automatico venga disattivato quando mancano almeno 24 ore alla scadenza del periodo in corso. Dopo l'acquisto, gli abbonamenti possono essere gestiti dall'utente e il rinnovo automatico si può disattivare accedendo alle Impostazioni dell'account dell'utente. Le eventuali porzioni di periodo di prova gratuito inutilizzate vengono annullate quando l'utente acquista un abbonamento corrispondente. <color=#ffff00>Informativa sulla privacy</color> e <color=#ffff00>condizioni di utilizzo</color>.	Ini adalah <color=#ffff00>Langganan perpanjangan otomatis</color>. Keanggotaan Emas menawarkan langganan mingguan, kamu akan mendapatkan periode percobaan GRATIS 3 hari, setelah periode ini kau akan mendapat tagihan {0}. Setelah membayar langganan, kau dapat membuka fitur dan menghapus iklan. Pembayaran ditagihkan {1} setelah konfirmasi. Akun akan ditagih perpanjangan dalam 24 jam sebelum akhir periode berlaku, dan menunjukkan biaya perpanjangan. Langganan otomatis diperpanjang kecuali perpanjangan otomatis dinonaktifkan sekurangnya 24 jam sebelum akhir dari periode berlaku. Langganan dapat dikelola oleh pengguna dan perpanjangan otomatis dapat dinonaktifkan dengan masuk ke Pengaturan Akun. Setiap bagian dari periode uji coba gratis yang tidak terpakai, jika ditawarkan, akan hangus ketika pengguna membeli langganan publikasi, jika berlaku. <color=#ffff00>Kebijakan Privasi</color> and <color=#ffff00>Ketentuan Penggunaan</color>.
vip_google_account	Аккаунт Google	Google Account	Cuenta de Google	Cuenta Google	Conta Google	Conta Google	Compte Google	Google-Konto	Google アカウント	구글 계정	Google 账户	Google 帳戶	Google Hesabı	บัญชี Google	Account Google	Akun Google
vip_itunes_account	Учетная запись iTunes Store	iTunes Store Account	Cuenta de iTunes Store	Cuenta de iTunes Store	Conta iTunes Store	Conta iTunes Store	Compte iTunes Store	iTunes Store Konto	iTunes Store アカウント	iTunes 스토어 계정	iTunes Store 账户	iTunes Store 帳戶	iTunes Store Hesabı	บัญชี iTunes Store	Account iTunes Store	Akun iTunes Store
vip_daily_reward	Кристаллы за VIP Подписку	Сrystals for Gold Membership	Сristales por la suscripción oro	Сristales para Membresia de oro	Cristais por Título Membro Ouro	Cristais por Título Membro Ouro	Cristaux pour l'adhésion Or	Kristalle für die Gold-Mitgliedschaft	ゴールドメンバーシップのためのクリスタル	골드 멤버십을 위한 크리스탈	水晶换黄金会员	黃金會員可獲水晶	Altın Üyelik için Kristaller	คริสตัลสำหรับสมาชิกระดับทองคำ	Cristalli per abbonamento Gold	Kristal untuk Keanggotaan Emas
rate_us	Оцените игру	Rate Game	Puntuar juego	Puntuar juego	Avaliar jogo	Avalia o Jogo	Évaluer le jeu	Spiel bewerten	ゲームを評価する	게임 평가	为游戏打分	評價遊戲	Oyuna Puan Ver	ให้คะแนนเกม	Valuta il gioco	Beri Peringkat Game
restore_purchases	Восстановить покупки	Restore Purchases	Restaurar compras	Restaurar compras	Restaurar compras	Restaurar compras	Rétablir les achats	Käufe wiederherstellen	購入を復元	구입 복구	恢复购买	恢復購買物品	Satın Alımları Geri Yükle	เรียกคืนการสั่งซื้อ	Ripristina gli acquisti	Pulihkan Pembelian
gdpr_title	Важная информация!	Attention!	¡Atención!	¡Atención!	Atenção!	Atenção!	Attention !	Achtung!	ご注意！	주의!	注意！	注意！	Dikkat!	โปรดทราบ!	Attenzione!	Perhatian!
gdpr_message	Пожалуйста, ознакомьтесь с нашими условиями обслуживания и политикой конфиденциальности. Спасибо и удачи вам в игре!	Please carefully read our Terms of Service and Confidentiality Policy. Thanks and have fun!	Lee atentamente nuestras Condiciones de servicio y nuestra Política de confidencialidad. Gracias y ¡diviértete!	Por favor, lee atentamente nuestros Términos de servicio y nuestra Política de confidencialidad. Gracias y ¡diviértete!	Leia cuidadosamente nossos Termos de Serviço e Política de Confidencialidade. Obrigado e divirta-se!	Leia cuidadosamente os nossos Termos de Serviço e Política de Confidencialidade. Obrigado e divirta-se!	Veuillez lire attentivement nos Conditions de service et notre Politique de confidentialité. Merci et amusez-vous bien !	Bitte lesen Sie sorgfältig unsere Nutzungsbedingungen und die Datenschutzrichtlinie. Danke und viel Vergnügen!	当社の利用規約と機密情報の取り扱い方針をよくお読みください。お楽しみいただきありがとうございます。	개인정보 보호 및 약관을 읽어주시기 바랍니다. 감사합니다!	请仔细阅读我们的《服务条款》和《保密政策》。谢谢，玩的开心！	請仔細閱讀我們的服務條款與保密政策。謝謝，祝你遊戲愉快！	Lütfen Kullanım Koşullarımızı ve Gizlilik Politikamızı dikkate okuyun. Teşekkürler ve iyi eğlenceler!	กรุณาอ่านเงื่อนไขการให้บริการและนโยบายการรักษาความลับของเรา ขอขอบคุณและขอให้คุณสนุกกับเกม!	Leggi attentamente le condizioni di servizio e l'informativa sulla privacy. Grazie e buon divertimento!	Baca Ketentuan Layanan dan Kebijakan Kerahasiaan kami dengan saksama. Terima kasih dan selamat bersenang-senang!
privacy_policy	Политика конфиденциальности	Confidentiality Policy	Política de confidencialidad	Política de confidencialidad	Política de Confidencialidade	Política de Confidencialidade	Politique de confidentialité	Datenschutzrichtlinie	機密情報の取り扱い方針	개인정보 보호	保密政策	保密政策	Gizlilik Politikası	นโยบายการรักษาความลับ	Informativa sulla privacy	Kebijakan Kerahasiaan
terms_of_use	Условия обслуживания	Terms of Service	Condiciones de servicio	Términos de servicio	Termos de Serviço	Termos de Serviço	Conditions de service	Nutzungsbedingungen	利用規約	이용 약관	服务条款	使用條款	Hizmet Şartları	เงื่อนไขการให้บริการ	Condizioni di servizio	Ketentuan Layanan
accept	ПРИНЯТЬ	ACCEPT	ACEPTAR	ACEPTAR	ACEITAR	ACEITAR	J'ACCEPTE	AKZEPTIEREN	同意する	동의	接受	接受	KABUL ET	ยอมรับ	ACCETTA	SETUJU
bonus_gold_title	Больше золота	More gold	Más oro	Más oro	Mais ouro	Mais ouro	Plus d'or	Mehr Gold	もっと多くのゴールド	더 많은 골드	更多黄金	更多黃金	Daha fazla altın	ทองคำเพิ่มเติม	Altre monete	Lebih banyak emas
bonus_gold_desc	Получайте х2 золота!	Earn 2x gold!	¡Gana 2 veces más oro!	¡Gana 2 veces más oro!	Ganhe 2x mais ouro!	Ganhe 2x mais ouro!	Gagnez 2 x plus d'or !	Erhalte 2x Gold!	2倍のゴールドを獲得	골드 2배!	赢取 2x 黄金！	獲得 2x 黃金！	2x altın kazan!	รับทองคำเป็น 2 เท่า!	Ottieni monete doppie!	Raih 2x emas!
bonus_gold_desc_х4	Получайте х4 золота!	Earn 4x gold!	¡Gana 4 veces más oro!	¡Gana 4 veces más oro!	Ganhe 4x mais ouro!	Ganhe 4x mais ouro!	Gagnez 4 x plus d'or !	Erhalte 4x Gold!	4倍のゴールドを獲得	골드 4배!	赢取 4x 黄金！	獲得 4x 黃金！	4x altın kazan!	รับทองคำเป็น 4 เท่า!	Ottieni monete quadruple!	Raih 4x emas!
for_n_hours	На {0} часа!	For {0} hours!	¡Durante {0} horas!	¡Por {0} horas!	Por {0} horas!	Durante {0} horas!	Pendant {0} heures !	Für {0} Stunden!	{0} 時間！	{0}시간 동안!	共 {0} 小时！	持續 {0} 小時！	{0} saat boyunca!	ในเวลา {0} ชั่วโมง!	Per {0} ore!	Selama {0} jam!
for_n_minutes	На {0} минуты!	For {0} minutes!	¡Durante {0} minutos!	¡Por {0} minutos!	Por {0} minutos!	Durante {0} minutos!	Pendant {0} minutes !	Für {0} Minuten!	{0} 分！	{0}분 동안!	共 {0} 分钟！	持續 {0} 分鐘！	{0} dakika boyunca!	ในเวลา {0} นาที!	Per {0} minuti!	Selama {0} menit!
get_now	ПОЛУЧИТЬ	GET	OBTENER	OBTÉN	OBTER	OBTER	OBTENIR	ERHALTEN	獲得	획득	获取	取得	AL	รับ	OTTIENI	DAPATKAN
evolve_bonus_title	Бонусная Эволюция	Bonus Evolution	Evolución de bonificación	Evolución de bonificación	Evolução do bônus	Evolução do bónus	Une évolution en bonus	Bonus-Evolution	ボーナス進化	진화 보너스	奖励进化	額外進化	Bonus Evrim	โบนัสวิวัฒนาการ	Bonus evoluzione	Bonus Evolusi
evolve_bonus_desc	Получите еще одну эволюцию бесплатно!	Get one more evolution for free!	¡Obtén una evolución más gratis!	¡Obtén una evolución más gratis!	Ganhe mais uma evolução grátis!	Ganhe mais uma evolução gratuita!	Obtenez gratuitement une évolution supplémentaire	Erhalte eine zusätzliche Evolution umsonst!	無料でもう一段階進化できる！	한 번 더 진화! (무료)	免费再获取一个进化！	免費再取得一個進化！	Ücretsiz olarak bir evrim daha al!	รับอีกหนึ่งวิวัฒนาการได้ฟรี!	Aumenta l'evoluzione gratis!	Dapatkan satu evolusi lagi gratis!
evolve	ПОЛУЧИТЬ	GET	OBTENER	OBTÉN	OBTER	OBTER	OBTENIR	ERHALTEN	獲得	획득	获取	取得	AL	รับ	OTTIENI	DAPATKAN
chest_open_title	ВОЛШЕБНЫЙ СУНДУК	MAGIC CASE	ESTUCHE MÁGICO	ESTUCHE MÁGICO	MALETA MÁGICA	MALA MÁGICA	COFFRE MAGIQUE	MAGISCHE TRUHE	マジックケース	마법의 상자	神奇宝匣	魔法盒	SİHİRLİ SANDIK	กล่องวิเศษ	SCATOLA MAGICA	PETI AJAIB
chest_open_disc	Вы можете получить:	Might contain:	Podría contener:	Podría contener:	Pode conter:	Poderá conter:	Peut contenir :	Könnte dies enthalten:	中にはこんなものが：	포함:	可能包含：	可能包含：	Şunları içerebilir:	อาจจะมี:	Può contenere:	Mungkin berisi:
chest_open_button	ОТКРЫТЬ	OPEN	ABRIR	ABRIR	ABRIR	ABRIR	OUVRIR	ÖFFNEN	開く	열기	打开	開啟	AÇ	เปิด	APRI	BUKA
random_monster	случайное существо	random creature	criatura al azar	criatura al azar	criatura aleatória	criatura aleatória	créature aléatoire	Zufallsmonster	ランダムな生き物	무작위 피조물	随机生物	隨機生物	rasgele yaratık	สิ่งมีชีวิตแบบสุ่ม	creatura casuale	makhluk acak
chest_open_spin	КРУТИТЬ	SPIN	GIRAR	GIRAR	GIRAR	GIRAR	EFFET	MISCHEN	スピン	스핀	旋转	旋轉	ÇEVİR	หมุน	GIRA	PUTAR
minutes	мин.	min.	min	min.	min.	min.	min	min	分	분.	分	分	dk	นาที	min	mnt.
seconds	сек.	sec.	s	seg.	seg.	seg.	sec	s	秒	초.	秒	秒	sn	วินาที	s	dtk.
quit_message	Выйти из игры?	Do you really want to quit the game?	¿Seguro que quieres salir del juego?	¿En verdad quieres salir del juego?	Deseja mesmo sair do jogo?	Deseja mesmo sair do jogo?	Voulez-vous vraiment quitter le jeu ?	Möchtest du das Spiel wirklich beenden?	ゲームを止めてもよろしいですか？	정말로 게임을 종료하시겠습니까?	是否确定退出游戏？	您確定要離開遊戲嗎？	Oyundan gerçekten çıkmak istiyor musun?	คุณต้องการออกจากเกมใช่หรือไม่?	Uscire dal gioco?	Kamu benar-benar ingin keluar dari game?
yes	Да	Yes	Sí	Sí	Sim	Sim	Oui	Ja	はい	네	是	是	Evet	ใช่	Sì	Ya
no	Нет	No	No	No	Não	Não	Non	Nein	いいえ	아니오	否	否	Hayır	ไม่ใช่	No	Tidak
planet_tap_bonus	Тап дает	1 tap gives	Con cada toque, consigues	1 toque da	1 toque dá	1 toque dá	1 clic permet d'obtenir	1 Tippen für	1タップで	1탭에 증정	1次点击可获得	點擊 1 次將獲得	1 dokunuşla	1 คลิก จะให้	Con un tocco ottieni	1 ketukan menghasilkan
reset_button	СБРОСИТЬ ПРОГРЕСС	CLEAR PROGRESS	BORRAR PROGRESO	BORRAR PROGRESO	APAGAR PROGRESSO	APAGAR PROGRESSO	SUPPRIMER LA PROGRESSION	FORTSCHRITT LÖSCHEN	進捗をクリア	진행 상황 초기화	清除进度	清除進度	İLERLEMEYİ TEMİZLE	ความคืบหน้าที่ชัดเจน	CANCELLA PROGRESSI	HAPUS PROGRES
reset_confirm	Весь ваш прогресс будет УДАЛЕН. Восстановить данные после этой операции невозможно! Вы уверены, что хотите сбросить ваш прогресс? 	All of your progress will be ERASED You can't restore it once it's deleted! Are you sure you want to erase your progress?	SE BORRARÁ todo tu progreso. Una vez eliminado, ¡no podrás restaurarlo! ¿Seguro que quieres borrar tu progreso?	Todo tu progreso será BORRADO ¡No podrás restaurarlo después de eliminarlo! ¿Estás seguro de que quieres borrar tu progreso?	Todo o seu progresso será APAGADO. Você não poderá restaurá-lo depois que excluir! Tem certeza de que deseja apagar o progresso?	Todo o teu progresso será APAGADO. Não poderás restaurá-lo depois de o excluíres! Tens a certeza de que desejas apagar o progresso?	Toute votre progression va être SUPPRIMÉE. L'action est irréversible ! Êtes-vous sûr(e) de vouloir supprimer votre progression ?	Dein gesamter Fortschritt wird GELÖSCHT Du kannst ihn nach dem Löschen nicht wiederherstellen! Bist du sicher, dass du deinen Fortschritt löschen möchtest?	進捗がすべて消去されます。いちど消去すると復元できません！進捗を消去してもよろしいですか？	모든 진행 상황이 삭제되며 한 번 삭제되면 복구할 수 없습니다! 진행 상황을 삭제하시겠습니까?	你所有的进度将被删除 一旦删除无法恢复！确定想要删除进度？	你的所有進度將會被「刪除」，刪除後你將無法復原它！你確定你要刪除進度？	Tüm ilerlemen SİLİNECEK ve bu işlem geri alınamaz! İlerlemeni silmek istediğinden emin misin?	ความคืบหน้าในเกมทั้งหมดของคุณจะถูก "ลบ" และคุณจะไม่สามารถกู้คืนข้อมูลกลับมาได้อีก! คุณต้องการลบความคืบหน้าในเกมของคุณหรือไม่?	Tutti i tuoi progressi saranno CANCELLATI. Una volta eliminati non sarà possibile ripristinarli! Cancellare i progressi?	Seluruh progresmu akan DIHAPUS Kamu tidak dapat memulihkannya setelah dihapus! Yakin ingin menghapus progres?
id_info	Ваш ID:	Your ID:	Tu ID:	Tu ID:	Sua ID:	A tua ID:	Votre identifiant :	Deine ID:	あなたのID：	ID:	你的 ID:	你的 ID：	Kimliğin:	ID ของคุณ:	Il tuo ID:	ID-mu:
push_fullbank	Твоя свинка-копилка наполнилась золотом!	Your piggy bank is full of gold!	¡Tienes la hucha llena de oro!	Tu alcancía está llena de oro.	Seu cofrinho está cheio de ouro!	O teu porquinho está cheio de ouro!	Ta tirelire est pleine d'or !	Dein Sparschwein ist voller Gold!	貯金箱はゴールドでいっぱいです！	당신의 돼지 저금통이 골드로 가득 찼습니다!	你的存钱罐里装满了黄金！	你的存錢罐滿滿都是黃金！	Kumbaran altın dolu!	หมูออมสินของคุณมีทองคำเต็มแล้ว!	Il tuo salvadanaio è pieno di monete!	Celenganmu penuh dengan emas!
push_mission	Миссия завершена. Награда ждет тебя!	Mission completed. Your reward is waiting!	Misión cumplida. ¡Tu recompensa te espera!	Misión cumplida. ¡Tu recompensa espera!	Missão concluída: receba a recompensa!	Missão concluída. A tua recompensa espera-te!	Mission terminée. Ta récompense t'attend !	Mission erfüllt. Hol dir deine Belohnung!	ミッション終了。報酬が待っているよ！	임무 완료. 당신을 위한 보상이 기다립니다!	任务完成。你的奖励正在恭候！	任務已完成。你的獎勵正在等著你！	Görev tamamlandı. Ödülün seni bekliyor!	ภารกิจเสร็จสมบูรณ์ รางวัลกำลังรอคุณอยู่!	Missione compiuta. La tua ricompensa ti aspetta!	Misi selesai, Hadiahmu sudah menunggu!
push_24h	Эволюция сама собой не совершится!	Evolution won't happen on its own!	¡El planeta no va a evolucionar solo!	¡La evolución no se producirá por sí misma!	A evolução não vai acontecer sozinha!	A evolução não vai acontecer sozinha!	L'évolution ne se produira pas toute seule !	Die Evolution geschieht nicht von allein!	進化は単独では起こりません！	진화는 스스로 일어나지 않습니다!	进化不会自动发生！	進化可不會自己發生！	Evrim kendi kendine olmaz!	วิวัฒนาการจะไม่สามารถเกิดขึ้นได้ด้วยตัวมันเอง!	L'evoluzione non è un fenomeno spontaneo!	Evolusi tidak akan terjadi dengan sendirinya!
